mass
(with acceptance correction)
xmin	xmax	xsec	err-	err+
15	20	21.6781	3.07128	3.07128
20	30	6.39748	0.525737	0.525737
30	40	1.86412	0.0994527	0.0994527
40	50	0.94944	0.0511398	0.0511398
50	60	0.451895	0.0320784	0.0320784
60	76	0.498722	0.0254371	0.0254371
76	86	1.51189	0.0576173	0.0576173
86	96	14.3837	0.302662	0.302662
96	106	0.85382	0.0397125	0.0397125
106	120	0.168194	0.0136307	0.0136307
120	150	0.0497102	0.00483078	0.00483078
150	200	0.00941078	0.00156772	0.00156772
200	600	0.000863311	0.000154618	0.000154618
