mass
(no acceptance correction)
xmin	xmax	xsec	err-	err+
15	20	0.278179	0.0313155	0.0313155
20	30	0.505475	0.0378068	0.0378068
30	40	0.79413	0.0424735	0.0424735
40	50	0.540823	0.0291566	0.0291566
50	60	0.28172	0.0202451	0.0202451
60	76	0.327374	0.0167766	0.0167766
76	86	1.02284	0.0382568	0.0382568
86	96	9.93459	0.194607	0.194607
96	106	0.595498	0.0272534	0.0272534
106	120	0.117957	0.00950267	0.00950267
120	150	0.0350569	0.00338982	0.00338982
150	200	0.00672297	0.00111607	0.00111607
200	600	0.000641475	0.000114718	0.000114718
