phistar
(no acceptance correction)
xmin	xmax	xsec	err-	err+
0.0022	0.008	1132.45	33.6644	33.6644
0.008	0.016	1028.94	31.9929	31.9929
0.016	0.024	1007.32	31.8888	31.8888
0.024	0.034	853.534	26.0997	26.0997
0.034	0.045	791.99	24.2573	24.2573
0.045	0.057	689.371	21.2744	21.2744
0.057	0.072	591.891	17.7106	17.7106
0.072	0.091	451.194	13.7494	13.7494
0.091	0.114	364.637	11.3152	11.3152
0.114	0.145	275.965	8.45824	8.45824
0.145	0.189	199.711	6.1695	6.1695
0.189	0.258	120.053	3.74703	3.74703
0.258	0.391	63.3898	1.98334	1.98334
0.391	0.695	21.4035	0.753088	0.753088
0.695	1.153	6.04224	0.325726	0.325726
1.153	1.947	1.57943	0.120065	0.120065
1.947	3.277	0.346886	0.0441883	0.0441883
