pt
(no acceptance correction)
xmin	xmax	xsec	err-	err+
0.6875	2.5	3.60161	0.119208	0.119208
2.5	5	6.34615	0.174986	0.174986
5	7.5	6.02521	0.171018	0.171018
7.5	10	4.79064	0.151877	0.151877
10	12.5	4.25236	0.142568	0.142568
12.5	15	3.44561	0.127571	0.127571
15	17.5	2.65124	0.111055	0.111055
17.5	20	2.24721	0.0999712	0.0999712
20	30	1.50948	0.0416187	0.0416187
30	40	0.82261	0.0286145	0.0286145
40	50	0.514872	0.021855	0.021855
50	70	0.272739	0.0114815	0.0114815
70	90	0.116969	0.00714379	0.00714379
90	110	0.0650104	0.00545012	0.00545012
110	150	0.0244417	0.00242687	0.00242687
150	200	0.00542537	0.00142609	0.00142609
200	300	0.00128849	0.000309208	0.000309208
