rap60120
(no acceptance correction)
xmin	xmax	xsec	err-	err+
-2.87	-2.6	2.47609	0.258822	0.258822
-2.6	-2.4	10.4094	0.616984	0.616984
-2.4	-2.2	15.5251	0.749803	0.749803
-2.2	-1.93	22.3725	0.793724	0.793724
-1.93	-1.8	24.7573	1.1899	1.1899
-1.8	-1.6	30.0572	1.07603	1.07603
-1.6	-1.4	32.6414	1.14893	1.14893
-1.4	-1.2	34.9252	1.22138	1.22138
-1.2	-1	36.8204	1.24177	1.24177
-1	-0.8	35.2253	1.23031	1.23031
-0.8	-0.6	37.2148	1.26545	1.26545
-0.6	-0.4	35.3554	1.25557	1.25557
-0.4	-0.2	34.9741	1.23397	1.23397
-0.2	0	34.3282	1.23453	1.23453
0	0.2	37.9781	1.27024	1.27024
0.2	0.4	34.3269	1.21057	1.21057
0.4	0.6	34.5006	1.17555	1.17555
0.6	0.8	31.1335	1.10228	1.10228
0.8	1	26.3169	1.00246	1.00246
1	1.2	23.0784	0.929701	0.929701
1.2	1.4	18.028	0.818511	0.818511
1.4	1.6	11.9339	0.666748	0.666748
1.6	1.8	5.69543	0.463475	0.463475
1.8	1.93	2.11781	0.341198	0.341198
