phistar
(with acceptance correction)
xmin	xmax	xsec	err-	err+
0.0022	0.008	1706.08	52.603	52.603
0.008	0.016	1535.4	49.2481	49.2481
0.016	0.024	1506.14	49.2075	49.2075
0.024	0.034	1267.76	40.1385	40.1385
0.034	0.045	1163.97	36.8146	36.8146
0.045	0.057	1008.8	32.0945	32.0945
0.057	0.072	863.027	26.7061	26.7061
0.072	0.091	651.84	20.5132	20.5132
0.091	0.114	524.648	16.7874	16.7874
0.114	0.145	391.856	12.3785	12.3785
0.145	0.189	281.648	8.95541	8.95541
0.189	0.258	168.033	5.3964	5.3964
0.258	0.391	88.1317	2.83762	2.83762
0.391	0.695	29.8767	1.07743	1.07743
0.695	1.153	8.70569	0.475007	0.475007
1.153	1.947	2.46061	0.188531	0.188531
1.947	3.277	0.587721	0.0752035	0.0752035
