pt
(with acceptance correction)
xmin	xmax	xsec	err-	err+
0.6875	2.5	5.56578	0.190459	0.190459
2.5	5	9.63361	0.277087	0.277087
5	7.5	9.01858	0.266479	0.266479
7.5	10	7.08331	0.231962	0.231962
10	12.5	6.27772	0.216229	0.216229
12.5	15	5.01613	0.189733	0.189733
15	17.5	3.85864	0.164173	0.164173
17.5	20	3.24527	0.146068	0.146068
20	30	2.15286	0.061358	0.061358
30	40	1.14766	0.0406653	0.0406653
40	50	0.701029	0.0301446	0.0301446
50	70	0.358859	0.0152578	0.0152578
70	90	0.149101	0.009142	0.009142
90	110	0.08162	0.00682807	0.00682807
110	150	0.0298158	0.00295501	0.00295501
150	200	0.00636171	0.00167164	0.00167164
200	300	0.00150029	0.000357807	0.000357807
