rap60120
(with acceptance correction)
xmin	xmax	xsec	err-	err+
-2.87	-2.6	23.6921	2.48674	2.48674
-2.6	-2.4	36.0255	2.1656	2.1656
-2.4	-2.2	35.2104	1.72267	1.72267
-2.2	-1.93	37.7536	1.35045	1.35045
-1.93	-1.8	35.2835	1.7032	1.7032
-1.8	-1.6	39.0874	1.40309	1.40309
-1.6	-1.4	39.172	1.38031	1.38031
-1.4	-1.2	39.7027	1.38793	1.38793
-1.2	-1	40.5618	1.36731	1.36731
-1	-0.8	38.1328	1.33049	1.33049
-0.8	-0.6	40.0825	1.36136	1.36136
-0.6	-0.4	38.0425	1.34966	1.34966
-0.4	-0.2	37.5664	1.32351	1.32351
-0.2	0	37.1213	1.33341	1.33341
0	0.2	41.5436	1.388	1.388
0.2	0.4	38.6264	1.36156	1.36156
0.4	0.6	40.6477	1.38517	1.38517
0.6	0.8	39.2238	1.39042	1.39042
0.8	1	36.6278	1.39835	1.39835
1	1.2	37.3141	1.51579	1.51579
1.2	1.4	36.3737	1.67022	1.67022
1.4	1.6	33.8253	1.91837	1.91837
1.6	1.8	29.4824	2.43435	2.43435
1.8	1.93	36.743	6.06437	6.06437
